,X.1,X,Transect_no,Quadrat_no,site,Season,Location,Method,Cover_Type,Coverage_count
1,1,1,2,4,Caplin_cove_100m,Summer,Edge,Drone,Eelgrass,98
2,2,2,2,3,Caplin_cove_100m,Summer,Edge,Drone,Eelgrass,99
3,3,3,2,2,Caplin_cove_100m,Summer,Edge,Drone,Eelgrass,55
4,4,4,2,1,Caplin_cove_100m,Summer,Edge,Drone,Eelgrass,70
5,5,5,1,4,Caplin_cove_100m,Summer,Inside,Drone,Eelgrass,102
6,6,6,1,3,Caplin_cove_100m,Summer,Inside,Drone,Eelgrass,99
7,7,7,1,2,Caplin_cove_100m,Summer,Inside,Drone,Eelgrass,99
8,8,8,1,1,Caplin_cove_100m,Summer,Inside,Drone,Eelgrass,100
9,9,1,2,4,Caplin_cove_50m,Summer,Edge,Drone,Eelgrass,70
10,10,2,2,3,Caplin_cove_50m,Summer,Edge,Drone,Eelgrass,90
11,11,3,2,2,Caplin_cove_50m,Summer,Edge,Drone,Eelgrass,66
12,12,4,2,1,Caplin_cove_50m,Summer,Edge,Drone,Eelgrass,32
13,13,5,1,4,Caplin_cove_50m,Summer,Inside,Drone,Eelgrass,80
14,14,6,1,3,Caplin_cove_50m,Summer,Inside,Drone,Eelgrass,100
15,15,7,1,2,Caplin_cove_50m,Summer,Inside,Drone,Eelgrass,100
16,16,8,1,1,Caplin_cove_50m,Summer,Inside,Drone,Eelgrass,98
17,17,1,1,1,NH,Summer,Inside,Drone,Eelgrass,98
18,18,2,1,2,NH,Summer,Inside,Drone,Eelgrass,101
19,19,3,1,3,NH,Summer,Inside,Drone,Eelgrass,102
20,20,4,1,4,NH,Summer,Inside,Drone,Eelgrass,101
21,21,5,2,1,NH,Summer,Edge,Drone,Eelgrass,94
22,22,6,2,2,NH,Summer,Edge,Drone,Eelgrass,100
23,23,7,2,3,NH,Summer,Edge,Drone,Eelgrass,100
24,24,8,2,4,NH,Summer,Edge,Drone,Eelgrass,99
25,1,1,2,4,Caplin_cove_100m,Summer,Edge,Drone,Substrate,0
26,2,2,2,3,Caplin_cove_100m,Summer,Edge,Drone,Substrate,0
27,3,3,2,2,Caplin_cove_100m,Summer,Edge,Drone,Substrate,3
28,4,4,2,1,Caplin_cove_100m,Summer,Edge,Drone,Substrate,0
29,5,5,1,4,Caplin_cove_100m,Summer,Inside,Drone,Substrate,0
30,6,6,1,3,Caplin_cove_100m,Summer,Inside,Drone,Substrate,0
31,7,7,1,2,Caplin_cove_100m,Summer,Inside,Drone,Substrate,0
32,8,8,1,1,Caplin_cove_100m,Summer,Inside,Drone,Substrate,0
33,9,1,2,4,Caplin_cove_50m,Summer,Edge,Drone,Substrate,0
34,10,2,2,3,Caplin_cove_50m,Summer,Edge,Drone,Substrate,0
35,11,3,2,2,Caplin_cove_50m,Summer,Edge,Drone,Substrate,0
36,12,4,2,1,Caplin_cove_50m,Summer,Edge,Drone,Substrate,0
37,13,5,1,4,Caplin_cove_50m,Summer,Inside,Drone,Substrate,0
38,14,6,1,3,Caplin_cove_50m,Summer,Inside,Drone,Substrate,0
39,15,7,1,2,Caplin_cove_50m,Summer,Inside,Drone,Substrate,0
40,16,8,1,1,Caplin_cove_50m,Summer,Inside,Drone,Substrate,0
41,17,1,1,1,NH,Summer,Inside,Drone,Substrate,0
42,18,2,1,2,NH,Summer,Inside,Drone,Substrate,0
43,19,3,1,3,NH,Summer,Inside,Drone,Substrate,0
44,20,4,1,4,NH,Summer,Inside,Drone,Substrate,0
45,21,5,2,1,NH,Summer,Edge,Drone,Substrate,0
46,22,6,2,2,NH,Summer,Edge,Drone,Substrate,0
47,23,7,2,3,NH,Summer,Edge,Drone,Substrate,0
48,24,8,2,4,NH,Summer,Edge,Drone,Substrate,0
49,1,1,2,4,Caplin_cove_100m,Summer,Edge,Drone,All_seaweed,2
50,2,2,2,3,Caplin_cove_100m,Summer,Edge,Drone,All_seaweed,1
51,3,3,2,2,Caplin_cove_100m,Summer,Edge,Drone,All_seaweed,42
52,4,4,2,1,Caplin_cove_100m,Summer,Edge,Drone,All_seaweed,30
53,5,5,1,4,Caplin_cove_100m,Summer,Inside,Drone,All_seaweed,0
54,6,6,1,3,Caplin_cove_100m,Summer,Inside,Drone,All_seaweed,0
55,7,7,1,2,Caplin_cove_100m,Summer,Inside,Drone,All_seaweed,0
56,8,8,1,1,Caplin_cove_100m,Summer,Inside,Drone,All_seaweed,0
57,9,1,2,4,Caplin_cove_50m,Summer,Edge,Drone,All_seaweed,30
58,10,2,2,3,Caplin_cove_50m,Summer,Edge,Drone,All_seaweed,10
59,11,3,2,2,Caplin_cove_50m,Summer,Edge,Drone,All_seaweed,34
60,12,4,2,1,Caplin_cove_50m,Summer,Edge,Drone,All_seaweed,68
61,13,5,1,4,Caplin_cove_50m,Summer,Inside,Drone,All_seaweed,19
62,14,6,1,3,Caplin_cove_50m,Summer,Inside,Drone,All_seaweed,0
63,15,7,1,2,Caplin_cove_50m,Summer,Inside,Drone,All_seaweed,0
64,16,8,1,1,Caplin_cove_50m,Summer,Inside,Drone,All_seaweed,2
65,17,1,1,1,NH,Summer,Inside,Drone,All_seaweed,0
66,18,2,1,2,NH,Summer,Inside,Drone,All_seaweed,0
67,19,3,1,3,NH,Summer,Inside,Drone,All_seaweed,0
68,20,4,1,4,NH,Summer,Inside,Drone,All_seaweed,0
69,21,5,2,1,NH,Summer,Edge,Drone,All_seaweed,6
70,22,6,2,2,NH,Summer,Edge,Drone,All_seaweed,0
71,23,7,2,3,NH,Summer,Edge,Drone,All_seaweed,0
72,24,8,2,4,NH,Summer,Edge,Drone,All_seaweed,1
73,1,1,2,4,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Eelgrass,100
74,2,2,2,3,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Eelgrass,100
75,3,3,2,2,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Eelgrass,100
76,4,4,2,1,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Eelgrass,33
77,5,5,1,4,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Eelgrass,100
78,6,6,1,3,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Eelgrass,100
79,7,7,1,2,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Eelgrass,100
80,8,8,1,1,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Eelgrass,100
81,9,1,2,4,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Eelgrass,100
82,10,2,2,3,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Eelgrass,100
83,11,3,2,2,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Eelgrass,100
84,12,4,2,1,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Eelgrass,33
85,13,5,1,4,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Eelgrass,100
86,14,6,1,3,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Eelgrass,100
87,15,7,1,2,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Eelgrass,100
88,16,8,1,1,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Eelgrass,100
89,17,1,1,1,NH,Summer,Inside,Snorkel,SQ_Eelgrass,100
90,18,2,1,2,NH,Summer,Inside,Snorkel,SQ_Eelgrass,100
91,19,3,1,3,NH,Summer,Inside,Snorkel,SQ_Eelgrass,100
92,20,4,1,4,NH,Summer,Inside,Snorkel,SQ_Eelgrass,33
93,21,5,2,1,NH,Summer,Edge,Snorkel,SQ_Eelgrass,100
94,22,6,2,2,NH,Summer,Edge,Snorkel,SQ_Eelgrass,100
95,23,7,2,3,NH,Summer,Edge,Snorkel,SQ_Eelgrass,100
96,24,8,2,4,NH,Summer,Edge,Snorkel,SQ_Eelgrass,100
97,1,1,2,4,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Seaweed,4
98,2,2,2,3,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Seaweed,4
99,3,3,2,2,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Seaweed,0
100,4,4,2,1,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Seaweed,17
101,5,5,1,4,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Seaweed,2
102,6,6,1,3,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Seaweed,4
103,7,7,1,2,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Seaweed,0
104,8,8,1,1,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Seaweed,0
105,9,1,2,4,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Seaweed,4
106,10,2,2,3,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Seaweed,4
107,11,3,2,2,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Seaweed,0
108,12,4,2,1,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Seaweed,17
109,13,5,1,4,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Seaweed,2
110,14,6,1,3,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Seaweed,4
111,15,7,1,2,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Seaweed,0
112,16,8,1,1,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Seaweed,0
113,17,1,1,1,NH,Summer,Inside,Snorkel,SQ_Seaweed,4
114,18,2,1,2,NH,Summer,Inside,Snorkel,SQ_Seaweed,4
115,19,3,1,3,NH,Summer,Inside,Snorkel,SQ_Seaweed,0
116,20,4,1,4,NH,Summer,Inside,Snorkel,SQ_Seaweed,17
117,21,5,2,1,NH,Summer,Edge,Snorkel,SQ_Seaweed,2
118,22,6,2,2,NH,Summer,Edge,Snorkel,SQ_Seaweed,4
119,23,7,2,3,NH,Summer,Edge,Snorkel,SQ_Seaweed,0
120,24,8,2,4,NH,Summer,Edge,Snorkel,SQ_Seaweed,0
121,1,1,2,4,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Sediment,0
122,2,2,2,3,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Sediment,4
123,3,3,2,2,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Sediment,0
124,4,4,2,1,Caplin_cove_100m,Summer,Edge,Snorkel,SQ_Sediment,50
125,5,5,1,4,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Sediment,0
126,6,6,1,3,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Sediment,0
127,7,7,1,2,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Sediment,0
128,8,8,1,1,Caplin_cove_100m,Summer,Inside,Snorkel,SQ_Sediment,0
129,9,1,2,4,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Sediment,0
130,10,2,2,3,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Sediment,4
131,11,3,2,2,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Sediment,0
132,12,4,2,1,Caplin_cove_50m,Summer,Edge,Snorkel,SQ_Sediment,50
133,13,5,1,4,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Sediment,0
134,14,6,1,3,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Sediment,0
135,15,7,1,2,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Sediment,0
136,16,8,1,1,Caplin_cove_50m,Summer,Inside,Snorkel,SQ_Sediment,0
137,17,1,1,1,NH,Summer,Inside,Snorkel,SQ_Sediment,0
138,18,2,1,2,NH,Summer,Inside,Snorkel,SQ_Sediment,4
139,19,3,1,3,NH,Summer,Inside,Snorkel,SQ_Sediment,0
140,20,4,1,4,NH,Summer,Inside,Snorkel,SQ_Sediment,50
141,21,5,2,1,NH,Summer,Edge,Snorkel,SQ_Sediment,0
142,22,6,2,2,NH,Summer,Edge,Snorkel,SQ_Sediment,0
143,23,7,2,3,NH,Summer,Edge,Snorkel,SQ_Sediment,0
144,24,8,2,4,NH,Summer,Edge,Snorkel,SQ_Sediment,0
